aan énhé; contradizer; discordar; ; verbo transitivo irregular
aang'aba; figura; imagem; ; substantivo
aang'ara; tentação; tentador; ; substantivo
aba; cabelo; pelo; pena; substantivo
aba?; quem; ; ; pronome interrogativo
abá; homem; pessoa; povo; substantivo
abáamó; alguém; algum; ; indefinido
abábaé; quem; ; ; pronome relativo
abásaba; quem; ; ; pronome relativo
abásara; quem; ; ; pronome relativo
abéé; outrem; ; ; indefinido
ab'aiba; confuso; difícil; trabalhoso; adjetivo
abákanhema; fugitivo; ; ; substantivo
abákanhembara; fugitivo; ; ; substantivo
abákaru; comedor; guloso; ; substantivo
abámbaéú; comedor; guloso; ; substantivo
abákatuaîaba; peixe-galo; ; ; substantivo
abámbi; quem; ; ; pronome relativo
abámemuã; trapaceiro; ; ; substantivo
abámondá; ladrão; ; ; substantivo
ab'ang'aba; acovardado; desanimado; ; adjetivo
ab'an'gatu; cortês; cordial; ; substantivo
abánhand'aba (de gente); corrida; ; ; substantivo
abánheen'(língua); tupi; língua tupi; idioma tupi; substantivo
abápanema; canibal; antropófago; ; substantivo
abápyá (de gente); entranhas; ; ; substantivo
abápyra; quem; ; ; pronome relativo
abará (cabelo ou pelo); malhado; manchado; pintado; substantivo
abaraba (cabelo ou pelo); malhado; manchado; pintado; adjetivo
abatiĩ; arroz; ; ; substantivo
abatinga; grisalho; ; ; substantivo
ab'atirá; topete; ; ; substantivo
abatityba; milharal; ; ; substantivo
abauna (cabelo ou pelo); preto; ; ; substantivo
abáuna (pessoa); negro; preto; ; substantivo
abáyba; namorado; noivo; ; substantivo
ab'ebó (cabelo ou pelo); eriçado; arrepiado; ; substantivo
ab'ebó; apressado; ; ; adjetivo
ab'iîupoó; desfiar; ; ; verbo transitivo
abiru; cheio; farto; repleto; adjetivo
aboy; minhoca; ; ; substantivo
abyî; errar; transgredir; ; verbo transitivo
abyaka (de mofo ou suor); fedor; ; ; substantivo
abyaka (a mofo ou suor); fedorento; fedido; ; adjetivo
abyaka (a mofo ou suor); feder; ; ; verbo intransitivo
abybyra (de frio); arrepiar-se; ; ; verbo reflexivo
abyky (cabelo ou pelo); escovar; pentear; ; verbo transitivo
abyra eyma; semelhante; ; ; adjetivo
abyraru; bolorento; mofado; ; adjetivo
asaba; recepção; tomada; ; substantivo
asaba; atravessar; passar; transpassar; verbo transitivo
asang' usu; rechonchudo; ; ; adjetivo
asapaba; passagem; travessia; ; substantivo
asara; receptor; recebedor; ; substantivo
asẽasẽ; berrar; gritar; vociferar; verbo intransitivo
asẽasema; gritaria; ; ; substantivo
aséia; costas; ; ; substantivo
asema; grito; berro; ; substantivo
asema; gritar; berrar; ; verbo intransitivo
